,Comment,comment_clean,sentiment_scores,compound_score,sentence_sentiment
0,djfjkdfjkjkffdk edited,djfjkdfjkjkffdk edited,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1,Faith has exhibited enthusiasm in taking on the project at hand. She has already shown promising signs in understanding the core concepts of software engineering. I look forward discovering more as time goes on.,faith has exhibited enthusiasm in taking on the project at hand she has already shown promising signs in understanding the core concepts of software engineering i look forward discovering more as time goes on,"{'neg': 0.0, 'neu': 0.721, 'pos': 0.279, 'compound': 0.891}",0.891,Excellent
2,He now has now understood the structure of grails and how different components relate. Understands the process of getting API's from MTN,he now has now understood the structure of grails and how different components relate understands the process of getting apis from mtn,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
3,"The Intern was oriented on ICT setup and Infrastructure of Soroti University, drafted workplan and started off the Internship. Simon was encouraged to take the Internship seriously as there was a lot to learn.",the intern was oriented on ict setup and infrastructure of soroti university drafted workplan and started off the internship simon was encouraged to take the internship seriously as there was a lot to learn,"{'neg': 0.047, 'neu': 0.884, 'pos': 0.069, 'compound': 0.2023}",0.2023,Good
4,"The student was oriented on the organization structure, developed workplan for the 4 week internship and participated in assessment of printers for servicing.  He acquired both technical and teamwork skills at workplace.",the student was oriented on the organization structure developed workplan for the week internship and participated in assessment of printers for servicing  he acquired both technical and teamwork skills at workplace,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
5,Activities well completed,activities well completed,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.2732}",0.2732,Good
6,finished on time,finished on time,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
7,"The student's weekly progress was justifiably good, characterized with enthusiasm to learning more.",the students weekly progress was justifiably good characterized with enthusiasm to learning more,"{'neg': 0.0, 'neu': 0.459, 'pos': 0.541, 'compound': 0.8625}",0.8625,Excellent
8,Noted,noted,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
9,"She found this very interesting as she was able to identify, know problems associated an his to overcome them.",she found this very interesting as she was able to identify know problems associated an his to overcome them,"{'neg': 0.119, 'neu': 0.749, 'pos': 0.132, 'compound': 0.0754}",0.0754,Good
10,"Partially done, expected a better result based on Steven's experienced. More effort needed ...",partially done expected a better result based on stevens experienced more effort needed,"{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.4404}",0.4404,Good
11,Done to partial satisfaction. Hopefully learning points were picked.,done to partial satisfaction hopefully learning points were picked,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.6808}",0.6808,Good
12,Confirmed done as specified.,confirmed done as specified,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
13,"He faced some problem of identifying the symbols, and other parts but he asked questions and made an effort to learn. Very good",he faced some problem of identifying the symbols and other parts but he asked questions and made an effort to learn very good,"{'neg': 0.068, 'neu': 0.774, 'pos': 0.158, 'compound': 0.533}",0.533,Good
14,"This activity took some time to be completed, but it was completed to my satisfaction.",this activity took some time to be completed but it was completed to my satisfaction,"{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.5927}",0.5927,Good
15,"He knows the requirements of how and his to install, setting up a network and managing it.",he knows the requirements of how and his to install setting up a network and managing it,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
16,"A little delays and constant supervision. The task has been finally completed, and reviewed by the line supervisor. Good job Mahad.",a little delays and constant supervision the task has been finally completed and reviewed by the line supervisor good job mahad,"{'neg': 0.0, 'neu': 0.873, 'pos': 0.127, 'compound': 0.4404}",0.4404,Good
17,He seemed not to have an idea about setting up a structured network but now I know he can do a lot more,he seemed not to have an idea about setting up a structured network but now i know he can do a lot more,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
18,"Student learnt and demonstrated system administration skill by creating emails for drivers, performed data backups, and troubleshooting of computer hardware and local area network.",student learnt and demonstrated system administration skill by creating emails for drivers performed data backups and troubleshooting of computer hardware and local area network,"{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0.4404}",0.4404,Good
19,Noted and tasks completed,noted and tasks completed,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
20,"Stephen was diligent in his work. He made effort to resolve issues that were assigned to him.

He has a quick understanding of technical problems and he tries his best to solve them independently. 

Stephen is a quick learner and he has great future ahead of him in the software engineering field.","stephen was diligent in his work he made effort to resolve issues that were assigned to him

he has a quick understanding of technical problems and he tries his best to solve them independently 

stephen is a quick learner and he has great future ahead of him in the software engineering field","{'neg': 0.043, 'neu': 0.753, 'pos': 0.204, 'compound': 0.875}",0.875,Excellent
21,Noted and confirmed,noted and confirmed,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
22,He has very good knowledge of the whole process of installation.,he has very good knowledge of the whole process of installation,"{'neg': 0.0, 'neu': 0.758, 'pos': 0.242, 'compound': 0.4927}",0.4927,Good
23,Learning target achieved,learning target achieved,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
24,She has knowledge of this topic and can identify and use the devices,she has knowledge of this topic and can identify and use the devices,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
25,"I assigned him two tasks.  One was to learn the basics of software engineering (That is building architecture and the software process work flaw), and he has done them well. I  wanted him to learn git so that we can be working remotely as he learns, therefore I will be monitoring his code from Github. I realized that previously he knew nothing about Git, but now he knows something that can get him started.",i assigned him two tasks  one was to learn the basics of software engineering  and he has done them well i  wanted him to learn git so that we can be working remotely as he learns therefore i will be monitoring his code from github i realized that previously he knew nothing about git but now he knows something that can get him started,"{'neg': 0.0, 'neu': 0.979, 'pos': 0.021, 'compound': 0.1406}",0.1406,Good
26,"I assigned him two tasks.  One was to learn the basics of software engineering (That is building architecture and the software process work flaw), and he has done them well. I wanted him to learn git so that we can be working remotely as he learns, therefore I will be monitoring his code from Github. I realized that previously he knew nothing about Git, but now he knows something that can get him started.",i assigned him two tasks  one was to learn the basics of software engineering  and he has done them well i wanted him to learn git so that we can be working remotely as he learns therefore i will be monitoring his code from github i realized that previously he knew nothing about git but now he knows something that can get him started,"{'neg': 0.0, 'neu': 0.979, 'pos': 0.021, 'compound': 0.1406}",0.1406,Good
27,"He was still having problems with using Jquery and Vue JS on the same interface, I advised him to use different master pages and only use the same CSS on both to avoid conflicts. But he is still working, it is steady progress",he was still having problems with using jquery and vue js on the same interface i advised him to use different master pages and only use the same css on both to avoid conflicts but he is still working it is steady progress,"{'neg': 0.109, 'neu': 0.813, 'pos': 0.077, 'compound': 0.1154}",0.1154,Good
28,Good attitude and resilience. This is a good start,good attitude and resilience this is a good start,"{'neg': 0.0, 'neu': 0.547, 'pos': 0.453, 'compound': 0.7003}",0.7003,Good
29,He is very interested in learning new things like the commands for system admins and other things otherwise very well performed,he is very interested in learning new things like the commands for system admins and other things otherwise very well performed,"{'neg': 0.0, 'neu': 0.695, 'pos': 0.305, 'compound': 0.7837}",0.7837,Good
